time,cur_price,exe_quantity,short_lvl1_price,short_lvl1_quantity,long_lvl1_price,long_lvl1_quantity,long_or_short,All_short_quantity,All_long_quantity
[09:00:06-321164],11904,2,11905.0,191.0,11904.0,74.0,1,630.0,1026.0
[09:00:06-396682],11904,10,11905.0,191.0,11904.0,64.0,1,630.0,1016.0
[09:00:06-577891],11904,50,11905.0,191.0,11904.0,14.0,1,630.0,966.0
[09:00:06-862917],11904,14,11904.0,36.0,11903.0,80.0,1,666.0,952.0
[09:00:09-437882],11903,10,11904.0,39.0,11903.0,70.0,1,667.0,1004.0
[09:00:10-047507],11904,3,11904.0,38.0,11903.0,70.0,2,666.0,1004.0
[09:00:11-651694],11903,50,11904.0,40.0,11903.0,20.0,1,670.0,1037.0
[09:00:11-653636],11903,20,11904.0,40.0,11902.0,20.0,1,670.0,1017.0
[09:00:11-765541],11903,3,11904.0,45.0,11903.0,19.0,2,675.0,1045.0
[09:00:11-852717],11903,2,11904.0,38.0,11903.0,23.0,1,668.0,1049.0
[09:00:12-502120],11903,23,11903.0,17.0,11902.0,29.0,1,685.0,1026.0
[09:00:12-625389],11903,5,11903.0,12.0,11902.0,34.0,2,680.0,1031.0
[09:00:13-167096],11903,17,,,,,2,,
[09:00:13-167454],11904,3,11904.0,35.0,11902.0,34.0,2,665.0,1032.0
[09:00:15-867551],11903,9,11903.0,1.0,11902.0,34.0,1,678.0,1033.0
[09:00:19-191013],11903,1,11903.0,1.0,11902.0,29.0,2,696.0,1054.0
[09:00:19-571232],11903,1,11904.0,40.0,11903.0,8.0,2,700.0,1073.0
[09:00:24-102048],11903,26,11904.0,68.0,11903.0,23.0,1,701.0,1027.0
[09:00:24-103609],11903,6,11904.0,68.0,11903.0,17.0,1,701.0,1021.0
[09:00:24-104288],11903,6,11904.0,68.0,11903.0,11.0,1,701.0,1015.0
[09:00:24-105603],11903,2,11904.0,68.0,11903.0,9.0,1,701.0,1013.0
[09:00:24-106748],11903,9,,,,,1,,
[09:00:28-347378],11904,3,11904.0,66.0,11903.0,2.0,2,699.0,1010.0
[09:00:31-535507],11904,1,11904.0,65.0,11903.0,18.0,2,668.0,1132.0
[09:00:32-916243],11904,9,11904.0,56.0,11903.0,63.0,2,659.0,1177.0
[09:00:32-918280],11904,9,11904.0,47.0,11903.0,63.0,2,650.0,1177.0
[09:00:32-918672],11904,9,11904.0,38.0,11903.0,63.0,2,641.0,1177.0
[09:00:32-920769],11904,10,11904.0,28.0,11903.0,63.0,2,631.0,1177.0
[09:00:32-921506],11904,11,11904.0,17.0,11903.0,63.0,2,620.0,1177.0
[09:00:32-922796],11904,5,11904.0,12.0,11903.0,63.0,2,615.0,1177.0
[09:00:32-924239],11904,9,11904.0,3.0,11903.0,63.0,2,606.0,1177.0
[09:00:32-925872],11904,3,11905.0,140.0,11904.0,2.0,2,603.0,1179.0
[09:00:33-378157],11904,50,11905.0,140.0,11904.0,3.0,1,603.0,1141.0
[09:00:33-379787],11904,3,11905.0,140.0,11903.0,24.0,1,603.0,1138.0
[09:00:39-227096],11903,13,11903.0,17.0,11902.0,34.0,1,729.0,1129.0
[09:00:40-360822],11903,5,11903.0,25.0,11902.0,29.0,2,735.0,1124.0
[09:00:43-848586],11903,24,11903.0,12.0,11902.0,41.0,2,672.0,1136.0
[09:00:43-850543],11903,4,11903.0,8.0,11902.0,41.0,2,668.0,1136.0
[09:00:43-851890],11903,8,11904.0,65.0,11903.0,4.0,2,660.0,1140.0
[09:00:48-270441],11904,1,11904.0,66.0,11903.0,34.0,2,661.0,1179.0
[09:00:50-019411],11904,5,11904.0,61.0,11903.0,34.0,2,666.0,1199.0
[09:00:53-793866],11904,9,11904.0,52.0,11903.0,33.0,2,657.0,1177.0
[09:00:55-034266],11904,20,11904.0,32.0,11903.0,33.0,2,637.0,1177.0
[09:00:55-036742],11904,17,11904.0,15.0,11903.0,38.0,2,620.0,1182.0
[09:00:55-123823],11904,2,11904.0,13.0,11903.0,36.0,2,618.0,1180.0
[09:00:55-878828],11904,13,11905.0,141.0,11904.0,8.0,2,605.0,1175.0
[09:00:55-883674],11904,8,11905.0,141.0,11904.0,3.0,1,605.0,1150.0
[09:00:55-979498],11904,1,11904.0,12.0,11903.0,12.0,2,617.0,1147.0
[09:01:14-129387],11904,5,11904.0,35.0,11903.0,31.0,2,659.0,1137.0
[09:01:14-382103],11904,3,11904.0,32.0,11903.0,31.0,2,656.0,1137.0
[09:01:15-575625],11904,32,11905.0,140.0,11904.0,18.0,2,624.0,1159.0
[09:01:15-990926],11904,23,,,,,1,,
[09:01:15-991534],11903,27,11905.0,140.0,11903.0,6.0,1,624.0,1112.0
[09:01:16-080725],11904,1,11904.0,13.0,11903.0,28.0,2,637.0,1134.0
[09:01:16-907366],11904,6,11904.0,4.0,11903.0,29.0,2,628.0,1135.0
[09:01:20-688357],11904,1,11904.0,1.0,11903.0,32.0,2,625.0,1177.0
[09:01:20-690323],11904,1,11905.0,140.0,11903.0,32.0,2,624.0,1177.0
[09:01:21-087435],11904,7,11905.0,140.0,11903.0,31.0,1,624.0,1176.0
[09:01:21-158060],11905,2,11905.0,138.0,11903.0,31.0,2,622.0,1176.0
[09:01:24-592901],11904,15,11905.0,139.0,11904.0,13.0,1,623.0,1198.0
[09:01:28-809010],11905,1,11905.0,139.0,11904.0,27.0,2,622.0,1214.0
[09:01:33-400982],11905,15,11905.0,151.0,11904.0,27.0,2,624.0,1215.0
[09:01:36-223684],11904,1,11905.0,151.0,11904.0,56.0,1,644.0,1249.0
[09:01:41-306691],11904,4,11905.0,151.0,11904.0,44.0,1,644.0,1261.0
[09:01:54-945249],11904,27,11905.0,145.0,11904.0,34.0,1,651.0,1207.0
[09:01:59-303778],11904,46,11904.0,4.0,11903.0,56.0,1,655.0,1173.0
[09:02:01-660459],11904,1,11904.0,8.0,11903.0,56.0,2,659.0,1173.0
[09:02:07-894822],11904,4,11904.0,19.0,11903.0,68.0,2,651.0,1185.0
[09:02:07-896720],11904,3,11904.0,8.0,11903.0,68.0,2,640.0,1185.0
[09:02:07-897322],11904,8,,,,,2,,
[09:02:08-560340],11904,3,11905.0,145.0,11903.0,68.0,1,632.0,1185.0
[09:02:13-812036],11905,1,11905.0,144.0,11904.0,15.0,2,631.0,1200.0
[09:02:14-348599],11904,16,11904.0,44.0,11903.0,67.0,1,675.0,1184.0
[09:02:18-480552],11904,30,11904.0,14.0,11903.0,67.0,2,666.0,1184.0
[09:02:19-563233],11904,4,11904.0,10.0,11903.0,67.0,2,662.0,1184.0
[09:02:19-564841],11904,2,11904.0,8.0,11903.0,67.0,2,660.0,1184.0
[09:02:21-756453],11904,8,11905.0,149.0,11904.0,42.0,2,652.0,1226.0
[09:02:21-790180],11904,26,11905.0,128.0,11904.0,22.0,1,631.0,1206.0
[09:02:21-916664],11904,21,11905.0,128.0,11903.0,67.0,1,631.0,1184.0
[09:02:24-431907],11904,1,11904.0,4.0,11903.0,77.0,2,635.0,1195.0
[09:02:24-433695],11904,3,11904.0,1.0,11903.0,77.0,2,632.0,1195.0
[09:02:25-118775],11904,1,11905.0,128.0,11903.0,77.0,2,631.0,1245.0
[09:02:30-225542],11904,9,11905.0,128.0,11903.0,77.0,1,631.0,1245.0
[09:02:38-684459],11905,20,11905.0,108.0,11904.0,21.0,2,611.0,1265.0
[09:02:44-553561],11904,20,11905.0,132.0,11904.0,1.0,1,635.0,1245.0
[09:02:44-555080],11904,1,11905.0,132.0,11903.0,76.0,1,635.0,1244.0
[09:02:50-081144],11904,9,11904.0,1.0,11903.0,78.0,1,648.0,1246.0
[09:02:55-097401],11903,78,11903.0,22.0,11902.0,111.0,1,700.0,1168.0
[09:02:56-413137],11902,1,11903.0,37.0,11902.0,27.0,1,725.0,1084.0
[09:02:56-416343],11902,20,11903.0,41.0,11902.0,7.0,1,729.0,1064.0
[09:02:56-418881],11902,7,11903.0,42.0,11901.0,26.0,1,730.0,1057.0
[09:02:57-155634],11901,1,11902.0,15.0,11901.0,8.0,1,745.0,979.0
[09:02:57-156891],11901,1,11902.0,15.0,11901.0,7.0,1,745.0,978.0
[09:02:57-158221],11901,7,11901.0,2.0,11900.0,5.0,1,747.0,971.0
[09:02:57-375681],11901,1,11901.0,16.0,11900.0,14.0,2,756.0,980.0
[09:02:59-797082],11901,8,11901.0,8.0,11900.0,18.0,2,758.0,1034.0
[09:03:01-357753],11900,18,11900.0,16.0,11899.0,56.0,1,797.0,1016.0
[09:03:01-935670],11900,8,11900.0,38.0,11899.0,56.0,2,820.0,1016.0
[09:03:02-636515],11899,1,11900.0,39.0,11899.0,5.0,1,821.0,965.0
[09:03:02-637509],11899,1,11900.0,39.0,11899.0,4.0,1,821.0,964.0
[09:03:02-638780],11899,1,11900.0,39.0,11899.0,3.0,1,821.0,963.0
[09:03:02-884447],11900,1,11900.0,38.0,11899.0,3.0,2,820.0,963.0
[09:03:03-779299],11899,5,11900.0,42.0,11899.0,3.0,1,824.0,963.0
[09:03:07-598260],11899,3,11900.0,42.0,11899.0,28.0,1,886.0,1028.0
[09:03:09-049583],11899,1,11900.0,42.0,11899.0,27.0,1,891.0,1027.0
[09:03:09-246222],11899,10,11900.0,42.0,11899.0,17.0,1,891.0,1017.0
[09:03:16-099197],11899,17,,,,,1,,
[09:03:17-191680],11898,10,11899.0,45.0,11898.0,3.0,1,907.0,990.0
[09:03:17-193637],11898,3,11899.0,45.0,11897.0,45.0,1,907.0,987.0
[09:03:17-281517],11897,24,11898.0,11.0,11897.0,1.0,1,908.0,943.0
[09:03:17-288048],11897,1,11898.0,30.0,11896.0,41.0,1,922.0,942.0
[09:03:23-818132],11897,11,11898.0,29.0,11897.0,6.0,1,900.0,978.0
[09:03:23-820211],11897,1,11898.0,34.0,11897.0,5.0,1,905.0,977.0
[09:03:23-821591],11897,5,11897.0,1.0,11896.0,47.0,1,906.0,972.0
[09:03:23-823555],11897,1,11898.0,34.0,11896.0,47.0,2,905.0,972.0
[09:03:23-827361],11897,1,11898.0,34.0,11897.0,1.0,1,904.0,973.0
[09:03:23-833590],11897,1,11898.0,34.0,11896.0,47.0,2,904.0,972.0
[09:03:25-146328],11897,2,11898.0,24.0,11897.0,11.0,1,854.0,984.0
[09:03:26-625698],11898,1,11898.0,15.0,11897.0,42.0,2,838.0,1015.0
[09:03:26-627149],11898,1,11898.0,12.0,11897.0,42.0,2,835.0,1015.0
[09:03:26-628534],11898,7,11898.0,5.0,11897.0,42.0,2,828.0,1015.0
[09:03:26-630018],11898,1,11898.0,4.0,11897.0,42.0,2,827.0,1015.0
[09:03:26-631350],11898,4,,,,,2,,
[09:03:27-598254],11898,2,11898.0,12.0,11897.0,42.0,1,835.0,1015.0
[09:03:27-819599],11897,5,11898.0,12.0,11897.0,37.0,1,835.0,1010.0
[09:03:28-722368],11897,37,11897.0,13.0,11896.0,47.0,1,848.0,973.0
[09:03:28-726120],11897,3,11897.0,10.0,11896.0,46.0,2,851.0,972.0
[09:03:28-727494],11897,3,11897.0,7.0,11896.0,46.0,2,848.0,972.0
[09:03:29-172411],11897,7,,,,,2,,
[09:03:29-172742],11898,3,11898.0,20.0,11896.0,46.0,2,843.0,972.0
[09:03:35-728692],11897,10,11897.0,25.0,11896.0,22.0,2,908.0,999.0
[09:03:42-587804],11897,5,11897.0,20.0,11896.0,27.0,2,892.0,1055.0
[09:03:42-652195],11897,1,11898.0,36.0,11896.0,32.0,2,872.0,1060.0
[09:03:45-863865],11897,2,11898.0,31.0,11897.0,6.0,1,884.0,1068.0
[09:03:48-591917],11898,1,11898.0,20.0,11897.0,76.0,2,889.0,1237.0
[09:03:48-592167],11898,4,11898.0,16.0,11897.0,76.0,2,885.0,1237.0
[09:03:48-594284],11898,16,,,,,2,,
[09:03:50-504428],11899,47,11900.0,49.0,11899.0,3.0,2,834.0,1257.0
[09:03:50-506079],11899,3,11900.0,49.0,11898.0,19.0,1,834.0,1254.0
[09:03:50-513596],11899,1,11899.0,4.0,11898.0,21.0,1,834.0,1251.0
[09:03:50-517350],11899,1,11899.0,3.0,11898.0,24.0,2,833.0,1254.0
[09:03:50-518689],11899,1,11899.0,2.0,11898.0,24.0,2,832.0,1254.0
[09:03:50-519951],11899,1,11899.0,1.0,11898.0,24.0,2,831.0,1254.0
[09:03:52-433416],11899,9,11900.0,47.0,11899.0,1.0,2,822.0,1250.0
[09:03:52-434994],11899,1,11900.0,47.0,11898.0,29.0,1,822.0,1249.0
[09:03:54-703257],11899,5,11900.0,47.0,11899.0,2.0,2,822.0,1251.0
