time,cur_price,exe_quantity,short_lvl1_price,short_lvl1_quantity,long_lvl1_price,long_lvl1_quantity,long_or_short,All_short_quantity,All_long_quantity
[09:00:01-262608],10752,15,10752.0,955.0,10751.0,63.0,2,9056.0,13628.0
[09:00:01-272302],10752,100,10752.0,855.0,10751.0,63.0,2,8956.0,13628.0
[09:00:09-066987],10751,10,10752.0,924.0,10751.0,198.0,1,9539.0,13668.0
[09:00:09-745557],10751,55,10752.0,934.0,10751.0,143.0,1,9549.0,13613.0
[09:00:10-143275],10751,6,10752.0,934.0,10751.0,137.0,1,9549.0,13607.0
[09:00:10-145370],10751,6,10752.0,934.0,10751.0,131.0,1,9549.0,13601.0
[09:00:14-694586],10751,2,10752.0,1444.0,10751.0,285.0,1,10059.0,13855.0
[09:00:17-991845],10751,25,10752.0,1464.0,10751.0,209.0,1,10079.0,13729.0
[09:00:17-994413],10751,25,10752.0,1464.0,10751.0,184.0,1,10079.0,13704.0
[09:00:17-994853],10751,25,10752.0,1464.0,10751.0,159.0,1,10079.0,13679.0
[09:00:17-998958],10751,50,10752.0,1464.0,10751.0,109.0,1,10079.0,13629.0
[09:00:17-999804],10751,100,10752.0,1464.0,10751.0,9.0,1,10079.0,13529.0
[09:00:18-001817],10751,9,10752.0,1464.0,10750.0,625.0,1,10079.0,13520.0
[09:00:18-013067],10751,1,,,,,2,,
[09:00:18-476237],10751,4,10752.0,1453.0,10751.0,113.0,1,10068.0,13436.0
[09:00:18-478435],10751,4,10752.0,1453.0,10751.0,109.0,1,10068.0,13432.0
[09:00:18-644843],10751,20,10752.0,1453.0,10751.0,192.0,1,10068.0,13515.0
[09:00:19-913264],10751,40,10752.0,1453.0,10751.0,205.0,1,10101.0,13538.0
[09:00:21-496390],10751,10,10752.0,1453.0,10751.0,245.0,1,10101.0,13578.0
[09:00:22-373330],10751,11,10752.0,1453.0,10751.0,256.0,1,10101.0,13589.0
[09:00:29-379072],10751,6,10752.0,1476.0,10751.0,203.0,1,10124.0,13246.0
[09:00:29-383767],10751,6,10752.0,1476.0,10751.0,194.0,1,10124.0,13237.0
[09:00:31-426485],10751,2,10752.0,1478.0,10751.0,192.0,1,10126.0,13245.0
[09:00:36-382651],10751,1,10752.0,1476.0,10751.0,191.0,1,10126.0,13244.0
[09:00:36-387846],10751,1,10752.0,1476.0,10751.0,190.0,1,10126.0,13243.0
[09:00:39-080919],10751,30,10752.0,1476.0,10751.0,160.0,1,10221.0,13213.0
[09:00:39-663851],10751,50,10752.0,1476.0,10751.0,110.0,1,10221.0,13163.0
[09:00:40-130187],10751,6,10752.0,1476.0,10751.0,104.0,1,10221.0,13107.0
[09:00:42-918300],10751,6,10752.0,1476.0,10751.0,98.0,1,10221.0,13101.0
[09:00:43-655140],10751,10,10752.0,1476.0,10751.0,88.0,1,10221.0,13091.0
[09:00:44-009753],10751,88,10751.0,12.0,10750.0,237.0,1,10233.0,13002.0
[09:00:45-339876],10750,2,10751.0,22.0,10750.0,258.0,1,10241.0,13123.0
[09:01:06-564204],10751,150,10751.0,107.0,10750.0,397.0,2,10687.0,13422.0
[09:01:06-566274],10751,12,10751.0,95.0,10750.0,397.0,2,10675.0,13422.0
[09:01:06-566577],10751,50,10751.0,45.0,10750.0,397.0,2,10625.0,13422.0
[09:01:06-567719],10751,45,,,,,2,,
[09:01:07-965667],10751,45,10752.0,1568.0,10751.0,56.0,1,10583.0,13478.0
[09:01:14-793273],10751,3,10752.0,1468.0,10751.0,400.0,1,10328.0,13916.0
[09:01:15-990046],10751,6,10752.0,2368.0,10751.0,394.0,1,11228.0,13755.0
[09:01:16-088678],10751,6,10752.0,2368.0,10751.0,388.0,1,11228.0,13749.0
[09:01:16-094482],10751,6,10752.0,2368.0,10751.0,381.0,1,11228.0,13742.0
[09:01:16-102535],10751,6,10752.0,2368.0,10751.0,372.0,1,11228.0,13733.0
[09:01:29-788695],10751,2,10752.0,974.0,10751.0,542.0,1,9334.0,13886.0
[09:01:33-107657],10751,6,10752.0,1021.0,10751.0,486.0,1,9384.0,13830.0
[09:01:33-126276],10751,50,10752.0,1087.0,10751.0,436.0,1,9450.0,13780.0
[09:01:33-130077],10751,6,10752.0,1104.0,10751.0,427.0,1,9467.0,13771.0
[09:01:34-957849],10751,1,10752.0,1104.0,10751.0,426.0,1,9467.0,14000.0
[09:01:46-791984],10751,60,10752.0,1124.0,10751.0,349.0,1,9487.0,14024.0
[09:01:49-340935],10751,3,10752.0,1124.0,10751.0,343.0,1,9484.0,14078.0
[09:01:52-111118],10751,45,10752.0,1126.0,10751.0,298.0,1,9486.0,14043.0
[09:01:59-347136],10751,300,10752.0,738.0,10751.0,83.0,1,9125.0,13828.0
[09:02:07-591298],10751,2,10752.0,1341.0,10751.0,215.0,1,9751.0,13989.0
[09:02:20-538544],10752,1,10752.0,788.0,10751.0,709.0,2,9620.0,14482.0
[09:02:31-988766],10751,2,10752.0,788.0,10751.0,1012.0,1,9365.0,14399.0
[09:02:32-455770],10752,80,10752.0,708.0,10751.0,1030.0,2,9285.0,14417.0
[09:02:32-460605],10752,149,10752.0,559.0,10751.0,1030.0,2,9136.0,14417.0
[09:02:32-466364],10752,17,10752.0,542.0,10751.0,1030.0,2,9119.0,14417.0
[09:02:32-478848],10752,7,10752.0,535.0,10751.0,1030.0,2,9112.0,14417.0
[09:02:32-481258],10752,100,10752.0,435.0,10751.0,1030.0,2,9012.0,14417.0
[09:02:32-482668],10752,56,10752.0,379.0,10751.0,1030.0,2,8956.0,14417.0
[09:02:32-483700],10752,3,10752.0,376.0,10751.0,1030.0,2,8953.0,14417.0
[09:02:32-486278],10752,155,10752.0,221.0,10751.0,1030.0,2,8798.0,14417.0
[09:02:32-496334],10752,2,10752.0,219.0,10751.0,1030.0,2,8796.0,14417.0
[09:02:32-502671],10752,12,10752.0,207.0,10751.0,1030.0,2,8784.0,14417.0
[09:02:32-503789],10752,1,10752.0,206.0,10751.0,1030.0,2,8783.0,14417.0
[09:02:32-506359],10752,1,10752.0,205.0,10751.0,1030.0,2,8782.0,14417.0
[09:02:32-507626],10752,50,10752.0,155.0,10751.0,1030.0,2,8732.0,14417.0
[09:02:32-508822],10752,1,10752.0,154.0,10751.0,1030.0,2,8731.0,14417.0
[09:02:32-510087],10752,10,10752.0,144.0,10751.0,1030.0,2,8721.0,14417.0
[09:02:32-511509],10752,25,10752.0,119.0,10751.0,1030.0,2,8696.0,14417.0
[09:02:32-512601],10752,66,10752.0,53.0,10751.0,1030.0,2,8630.0,14417.0
[09:02:32-514137],10752,50,10752.0,3.0,10751.0,1030.0,2,8580.0,14417.0
[09:02:32-516428],10752,3,,,,,2,,
[09:02:42-443669],10753,7,10753.0,451.0,10752.0,643.0,2,8616.0,15002.0
[09:02:43-920603],10753,300,10753.0,161.0,10752.0,653.0,2,8076.0,15069.0
[09:02:43-924779],10753,12,10753.0,146.0,10752.0,653.0,2,8061.0,15069.0
